file,qualified_name,kind,lineno,end_lineno,length,cyclomatic_complexity,max_nesting,arg_count,has_docstring
_release_staging/CapsuleWardrobeRAG/tests/test_ingest_wardrobe_idempotence.py,_count_items,function,13,19,7,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_ingest_wardrobe_idempotence.py,_get_first_item,function,22,29,8,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_ingest_wardrobe_idempotence.py,test_ingest_idempotence_duplicate_goes_to_quarantine,function,32,119,88,17,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_ontology_color_lexicon.py,test_color_lexicon_yaml_is_well_formed,function,24,46,23,13,2,0,False
_release_staging/CapsuleWardrobeRAG/tests/test_ontology_includes_ui_categories.py,test_ontology_contains_all_ui_category_keys,function,8,12,5,5,0,0,False
_release_staging/CapsuleWardrobeRAG/tests/test_run_registry.py,_get_run,function,14,21,8,1,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_run_registry.py,_get_events,function,24,31,8,1,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_run_registry.py,test_run_registry_ok,function,34,54,21,9,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_run_registry.py,test_run_registry_fail,function,57,72,16,6,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_run_registry_kpis.py,test_kpis_basic,function,13,37,25,11,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_run_registry_redaction.py,test_run_registry_redacts_secrets_in_meta_and_events,function,13,58,46,15,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_secret_scan.py,test_detects_openai_key,function,9,14,6,4,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_secret_scan.py,test_ignore_marker_suppresses,function,17,22,6,3,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_secret_scan.py,test_detects_private_key_block,function,25,30,6,3,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_secret_scan.py,test_detects_long_api_key_assignment,function,33,38,6,3,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_web_dashboard_legacy_api_auth.py,init_test_db,function,10,40,31,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_web_dashboard_legacy_api_auth.py,flask_client,function,44,66,23,1,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_web_dashboard_legacy_api_auth.py,test_inventory_requires_api_key,function,69,74,6,3,0,1,False
